bicycle_count,date,year,coordinates,long,lat
26400,20160921,2016,POINT (12.565491397230991 55.67796084860272),12.565491397230991,55.67796084860272
7600,20180927,2018,POINT (12.587600106423727 55.68116360238515),12.587600106423727,55.68116360238515
5500,20180927,2018,POINT (12.587161874224892 55.67576459605928),12.587161874224892,55.67576459605928
42600,20190912,2019,POINT (12.563784830098982 55.68673054140091),12.563784830098982,55.68673054140091
10000,20190904,2019,POINT (12.557917540101617 55.67797681383055),12.557917540101617,55.67797681383055
4200,20190613,2019,POINT (12.510990440718215 55.65050283197625),12.510990440718215,55.65050283197625
2200,20190507,2019,POINT (12.599845636263538 55.63848509063259),12.599845636263538,55.63848509063259
3300,20151001,2015,POINT (12.572503733886563 55.6759724596037),12.572503733886563,55.6759724596037
1500,20180619,2018,POINT (12.572683528145083 55.683211342280345),12.572683528145083,55.683211342280345
21000,20190912,2019,POINT (12.566369474794929 55.685708418286154),12.566369474794929,55.685708418286154
7100,20190515,2019,POINT (12.525153439020626 55.72710588532442),12.525153439020626,55.72710588532442
2800,20190509,2019,POINT (12.467131018190686 55.71336181629868),12.467131018190686,55.71336181629868
3300,20190508,2019,POINT (12.501067806935957 55.64241479721176),12.501067806935957,55.64241479721176
14900,20190925,2019,POINT (12.566545050457881 55.68641228608003),12.566545050457881,55.68641228608003
2700,20190523,2019,POINT (12.487389543509753 55.677771624338185),12.487389543509753,55.677771624338185
30500,20190925,2019,POINT (12.559080062995465 55.681775659145515),12.559080062995465,55.681775659145515
6500,20190515,2019,POINT (12.50390557494531 55.7134171158951),12.50390557494531,55.7134171158951
5400,20170517,2017,POINT (12.524266152957384 55.69677357124775),12.524266152957384,55.69677357124775
18100,20190912,2019,POINT (12.548166594681598 55.693760453842565),12.548166594681598,55.693760453842565
1900,20190509,2019,POINT (12.468280663263844 55.69149076083171),12.468280663263844,55.69149076083171
4100,20190911,2019,POINT (12.569969800636589 55.66710839094156),12.569969800636589,55.66710839094156
26200,20190918,2019,POINT (12.586998878059132 55.67489294070491),12.586998878059132,55.67489294070491
19200,20180927,2018,POINT (12.582295655249021 55.67998567768585),12.582295655249021,55.67998567768585
22400,20190917,2019,POINT (12.578524713360443 55.67042883796164),12.578524713360443,55.67042883796164
11300,20190911,2019,POINT (12.56231015080022 55.702095673593895),12.56231015080022,55.702095673593895
11100,20180926,2018,POINT (12.570985144966079 55.68203718389299),12.570985144966079,55.68203718389299
10600,20151001,2015,POINT (12.56673819245438 55.67921630423488),12.56673819245438,55.67921630423488
5600,20190508,2019,POINT (12.476224094045241 55.67272468616919),12.476224094045241,55.67272468616919
2300,20190612,2019,POINT (12.55037701730951 55.64161980604726),12.55037701730951,55.64161980604726
1700,20190509,2019,POINT (12.46813625451385 55.69993412700755),12.46813625451385,55.69993412700755
9700,20180927,2018,POINT (12.585604179900852 55.68182401685068),12.585604179900852,55.68182401685068
3400,20190905,2019,POINT (12.59041180278704 55.69918161400109),12.59041180278704,55.69918161400109
9400,20190514,2019,POINT (12.577449894629323 55.72376879642313),12.577449894629323,55.72376879642313
8400,20150929,2015,POINT (12.573390208881456 55.68982339564058),12.573390208881456,55.68982339564058
1400,20190508,2019,POINT (12.486466414448623 55.65226217613392),12.486466414448623,55.65226217613392
5700,20190620,2019,POINT (12.535682770235717 55.71288570702341),12.535682770235717,55.71288570702341
4500,20190620,2019,POINT (12.541381291042658 55.71948658627079),12.541381291042658,55.71948658627079
4200,20190515,2019,POINT (12.545781356308602 55.7225462577602),12.545781356308602,55.7225462577602
12000,20190620,2019,POINT (12.566772436603433 55.67536449909181),12.566772436603433,55.67536449909181
7000,20190926,2019,POINT (12.561949332841802 55.67569778126634),12.561949332841802,55.67569778126634
8500,20190613,2019,POINT (12.518333385402117 55.661660987474434),12.518333385402117,55.661660987474434
2200,20190508,2019,POINT (12.485722160115412 55.65466783328446),12.485722160115412,55.65466783328446
2800,20190613,2019,POINT (12.482843073467711 55.66353306540168),12.482843073467711,55.66353306540168
2900,20190905,2019,POINT (12.591555819239035 55.69948510717175),12.591555819239035,55.69948510717175
2800,20190911,2019,POINT (12.56426472096164 55.70566503366393),12.56426472096164,55.70566503366393
22000,20190905,2019,POINT (12.579590922431816 55.696738954035304),12.579590922431816,55.696738954035304
11500,20180913,2018,POINT (12.56624810830595 55.68702946472226),12.56624810830595,55.68702946472226
12900,20140513,2014,POINT (12.555942314686671 55.68340207576481),12.555942314686671,55.68340207576481
3400,20190507,2019,POINT (12.616641064774113 55.641582551118255),12.616641064774113,55.641582551118255
600,20190507,2019,POINT (12.642569861925963 55.64625528762304),12.642569861925963,55.64625528762304
3900,20150609,2015,POINT (12.59553402294219 55.68680821210819),12.59553402294219,55.68680821210819
14400,20140902,2014,POINT (12.581091083219517 55.69527947913001),12.581091083219517,55.69527947913001
11300,20190523,2019,POINT (12.538699975241007 55.653779785554775),12.538699975241007,55.653779785554775
9300,20180925,2018,POINT (12.59369094974512 55.69501819560997),12.59369094974512,55.69501819560997
19500,20190905,2019,POINT (12.56985086796188 55.69174745981588),12.56985086796188,55.69174745981588
1900,20190515,2019,POINT (12.521733883992844 55.72256218294855),12.521733883992844,55.72256218294855
1800,20190515,2019,POINT (12.513114079444913 55.71814905021928),12.513114079444913,55.71814905021928
5100,20190904,2019,POINT (12.565332825581402 55.6699136470963),12.565332825581402,55.6699136470963
900,20190509,2019,POINT (12.457766659268664 55.70737545125908),12.457766659268664,55.70737545125908
1800,20190507,2019,POINT (12.628381928777406 55.644321528356485),12.628381928777406,55.644321528356485
2100,20190507,2019,POINT (12.588758493854064 55.63804014120539),12.588758493854064,55.63804014120539
8800,20180920,2018,POINT (12.58108086012055 55.68306269833364),12.58108086012055,55.68306269833364
2300,20190509,2019,POINT (12.468194045046438 55.71323136395116),12.468194045046438,55.71323136395116
900,20190514,2019,POINT (12.559603740554357 55.722607994675045),12.559603740554357,55.722607994675045
3900,20190514,2019,POINT (12.568556754187211 55.72939153042308),12.568556754187211,55.72939153042308
300,20170504,2017,POINT (12.633782421132697 55.645498354194466),12.633782421132697,55.645498354194466
800,20190514,2019,POINT (12.57393655179169 55.72906722707083),12.57393655179169,55.72906722707083
9800,20140930,2014,POINT (12.579650508668696 55.68714796433991),12.579650508668696,55.68714796433991
16100,20150929,2015,POINT (12.575474654048154 55.688949027631466),12.575474654048154,55.688949027631466
28800,20191001,2019,POINT (12.59523196609638 55.670157664232065),12.59523196609638,55.670157664232065
6300,20181024,2018,POINT (12.560427598468346 55.70270671465646),12.560427598468346,55.70270671465646
13200,20180926,2018,POINT (12.569644529771258 55.68610702378902),12.569644529771258,55.68610702378902
8800,20160428,2016,POINT (12.577468746205687 55.68702493169137),12.577468746205687,55.68702493169137
8300,20191001,2019,POINT (12.598300096744339 55.6657139417284),12.598300096744339,55.6657139417284
13500,20140522,2014,POINT (12.607513666470583 55.65841463655803),12.607513666470583,55.65841463655803
2700,20140917,2014,POINT (12.502642892345266 55.69638366438825),12.502642892345266,55.69638366438825
1900,20150520,2015,POINT (12.513850359733954 55.705537445212705),12.513850359733954,55.705537445212705
5400,20141008,2014,POINT (12.583917949382636 55.68234291168296),12.583917949382636,55.68234291168296
24400,20180918,2018,POINT (12.559472902659957 55.66466355558428),12.559472902659957,55.66466355558428
900,20180620,2018,POINT (12.569758490421112 55.67664988074274),12.569758490421112,55.67664988074274
19600,20190919,2019,POINT (12.53403496752496 55.70169207674738),12.53403496752496,55.70169207674738
6100,20150527,2015,POINT (12.5000085839954 55.70450968678197),12.5000085839954,55.70450968678197
9400,20170920,2017,POINT (12.559763803403113 55.6885602649865),12.559763803403113,55.6885602649865
18100,20190904,2019,POINT (12.556001299281931 55.67382051591301),12.556001299281931,55.67382051591301
7100,20190613,2019,POINT (12.514686665905312 55.65901039277438),12.514686665905312,55.65901039277438
14000,20180927,2018,POINT (12.584855715162341 55.68156864607603),12.584855715162341,55.68156864607603
22100,20190919,2019,POINT (12.566332332461757 55.661678105791204),12.566332332461757,55.661678105791204
6700,20140429,2014,POINT (12.531994374434866 55.69682196140082),12.531994374434866,55.69682196140082
13000,20160518,2016,POINT (12.585985653091363 55.67854401718392),12.585985653091363,55.67854401718392
2400,20150505,2015,POINT (12.512503656548168 55.69619352707261),12.512503656548168,55.69619352707261
8500,20171011,2017,POINT (12.537411566532827 55.70197538762556),12.537411566532827,55.70197538762556
5400,20161011,2016,POINT (12.591300660819112 55.67965165246201),12.591300660819112,55.67965165246201
9000,20180920,2018,POINT (12.545133225426333 55.68656014647919),12.545133225426333,55.68656014647919
29000,20180913,2018,POINT (12.548233818149361 55.69473241036392),12.548233818149361,55.69473241036392
13700,20180925,2018,POINT (12.564253839393876 55.685124266082234),12.564253839393876,55.685124266082234
2600,20181127,2018,POINT (12.48365581292913 55.67348017896393),12.48365581292913,55.67348017896393
2200,20150505,2015,POINT (12.504013044387477 55.69003800744332),12.504013044387477,55.69003800744332
4400,20190606,2019,POINT (12.591770173676524 55.64559953042936),12.591770173676524,55.64559953042936
2700,20181113,2018,POINT (12.493649088480336 55.69417606285978),12.493649088480336,55.69417606285978
10700,20190926,2019,POINT (12.57364869460364 55.674707111539924),12.57364869460364,55.674707111539924
7100,20190514,2019,POINT (12.576238173524652 55.72883669346155),12.576238173524652,55.72883669346155
3500,20170831,2017,POINT (12.586158262593992 55.713457259135154),12.586158262593992,55.713457259135154
10100,20170906,2017,POINT (12.577435677118277 55.716177077721326),12.577435677118277,55.716177077721326
10300,20190911,2019,POINT (12.566819590887349 55.67121065622802),12.566819590887349,55.67121065622802
7700,20180614,2018,POINT (12.516229377445395 55.66375539412426),12.516229377445395,55.66375539412426
4200,20150507,2015,POINT (12.521782649305086 55.706433033894655),12.521782649305086,55.706433033894655
5400,20180614,2018,POINT (12.492999492499482 55.66937200862737),12.492999492499482,55.66937200862737
1000,20130514,2013,POINT (12.484198727622587 55.67174703184804),12.484198727622587,55.67174703184804
2500,20190507,2019,POINT (12.590998208040155 55.64247929041645),12.590998208040155,55.64247929041645
7200,20190522,2019,POINT (12.603504596833632 55.6685097641376),12.603504596833632,55.6685097641376
7400,20150924,2015,POINT (12.569843702519954 55.67751142880136),12.569843702519954,55.67751142880136
7200,20151001,2015,POINT (12.56790105639275 55.67705949302887),12.56790105639275,55.67705949302887
4900,20111006,2011,POINT (12.53979966103139 55.662798150064866),12.53979966103139,55.662798150064866
3400,20110412,2011,POINT (12.49819552100805 55.659840110043966),12.49819552100805,55.659840110043966
600,20110407,2011,POINT (12.500896609491463 55.64311133835351),12.500896609491463,55.64311133835351
3700,20190528,2019,POINT (12.612771649757864 55.660257930740684),12.612771649757864,55.660257930740684
13800,20190925,2019,POINT (12.577422195632968 55.708661689376065),12.577422195632968,55.708661689376065
9100,20140902,2014,POINT (12.579452594425002 55.695142622656924),12.579452594425002,55.695142622656924
4600,20090915,2009,POINT (12.57885555254339 55.69560114227417),12.57885555254339,55.69560114227417
2400,20181218,2018,POINT (12.486200462958802 55.6774352762177),12.486200462958802,55.6774352762177
3600,20180628,2018,POINT (12.479075258756431 55.69726228711753),12.479075258756431,55.69726228711753
3000,20181023,2018,POINT (12.488670643823333 55.67303495187127),12.488670643823333,55.67303495187127
8100,20190606,2019,POINT (12.593784307072147 55.6622484043954),12.593784307072147,55.6622484043954
8100,20160512,2016,POINT (12.57541028815649 55.69849550371397),12.57541028815649,55.69849550371397
5600,20190911,2019,POINT (12.580652334787487 55.69647486192935),12.580652334787487,55.69647486192935
23100,20180926,2018,POINT (12.574605635913462 55.684319751246825),12.574605635913462,55.684319751246825
2500,20140423,2014,POINT (12.545677974815254 55.70175857800831),12.545677974815254,55.70175857800831
8100,20180905,2018,POINT (12.564288130384158 55.678086368264545),12.564288130384158,55.678086368264545
3200,20171005,2017,POINT (12.540763765255178 55.66840513635533),12.540763765255178,55.66840513635533
1500,20151001,2015,POINT (12.572370905125684 55.67532814692513),12.572370905125684,55.67532814692513
6500,20190606,2019,POINT (12.595361987487026 55.6549506072329),12.595361987487026,55.6549506072329
3700,20151001,2015,POINT (12.567597366293825 55.677921328489916),12.567597366293825,55.677921328489916
2100,20190522,2019,POINT (12.617216032690916 55.66898489618827),12.617216032690916,55.66898489618827
2500,20150408,2015,POINT (12.58794659029224 55.70695222377981),12.58794659029224,55.70695222377981
1200,20160830,2016,POINT (12.625904807236981 55.6689728248219),12.625904807236981,55.6689728248219
7800,20190521,2019,POINT (12.57967575633036 55.669340001343414),12.57967575633036,55.669340001343414
1600,20180619,2018,POINT (12.571810503303972 55.68244314086547),12.571810503303972,55.68244314086547
3500,20121003,2012,POINT (12.527849082219781 55.650801347764755),12.527849082219781,55.650801347764755
4700,20190613,2019,POINT (12.492608916607372 55.67250052877466),12.492608916607372,55.67250052877466
1200,20190508,2019,POINT (12.477994530667289 55.66045737251951),12.477994530667289,55.66045737251951
8100,20160512,2016,POINT (12.565580692425566 55.69324886175112),12.565580692425566,55.69324886175112
3000,20180626,2018,POINT (12.480355661007549 55.69928706880264),12.480355661007549,55.69928706880264
8800,20130523,2013,POINT (12.561380136458874 55.69551076059095),12.561380136458874,55.69551076059095
3400,20191001,2019,POINT (12.592889163763974 55.66795540243491),12.592889163763974,55.66795540243491
600,20140507,2014,POINT (12.529691551199551 55.720915386409345),12.529691551199551,55.720915386409345
2600,20190612,2019,POINT (12.598168598146442 55.64573286252504),12.598168598146442,55.64573286252504
8600,20190910,2019,POINT (12.564051414660698 55.706747764334814),12.564051414660698,55.706747764334814
12200,20160922,2016,POINT (12.553719497333727 55.69951000919431),12.553719497333727,55.69951000919431
5600,20120904,2012,POINT (12.541090617224029 55.68805241544051),12.541090617224029,55.68805241544051
2000,20110412,2011,POINT (12.51685576884347 55.66436389948568),12.51685576884347,55.66436389948568
1500,20161102,2016,POINT (12.501751508270814 55.65122258760665),12.501751508270814,55.65122258760665
6600,20150929,2015,POINT (12.574226254035741 55.69014553168485),12.574226254035741,55.69014553168485
6700,20190606,2019,POINT (12.595452191652946 55.662402942530434),12.595452191652946,55.662402942530434
1500,20190612,2019,POINT (12.608134734098194 55.63934231769066),12.608134734098194,55.63934231769066
3400,20160519,2016,POINT (12.560465771275801 55.70982157671317),12.560465771275801,55.70982157671317
6800,20171012,2017,POINT (12.535578179525254 55.6976243084585),12.535578179525254,55.6976243084585
