2022-11-03 12:19:15,149 INFO osmnx Configured OSMnx
2022-11-03 12:20:40,922 INFO osmnx Found nearest node (298476905) to point [55.68673054140091, 12.563784830098982]
2022-11-03 12:20:40,934 INFO osmnx Found nearest node (781568) to point [55.67797681383055, 12.557917540101617]
2022-11-03 12:20:40,945 INFO osmnx Found nearest node (267180092) to point [55.65050283197625, 12.510990440718215]
2022-11-03 12:20:40,955 INFO osmnx Found nearest node (2066245919) to point [55.63848509063259, 12.599845636263538]
2022-11-03 12:20:40,963 INFO osmnx Found nearest node (298518060) to point [55.68570841828616, 12.566369474794929]
2022-11-03 12:20:40,972 INFO osmnx Found nearest node (4775492495) to point [55.72710588532442, 12.525153439020626]
2022-11-03 12:20:40,983 INFO osmnx Found nearest node (278781727) to point [55.71336181629868, 12.467131018190686]
2022-11-03 12:20:40,993 INFO osmnx Found nearest node (1468090781) to point [55.64241479721176, 12.501067806935955]
2022-11-03 12:20:41,001 INFO osmnx Found nearest node (706848) to point [55.68641228608003, 12.56654505045788]
2022-11-03 12:20:41,011 INFO osmnx Found nearest node (523637766) to point [55.677771624338185, 12.487389543509751]
2022-11-03 12:20:41,020 INFO osmnx Found nearest node (1411009786) to point [55.68177565914552, 12.559080062995465]
2022-11-03 12:20:41,030 INFO osmnx Found nearest node (4927447972) to point [55.7134171158951, 12.50390557494531]
2022-11-03 12:20:41,040 INFO osmnx Found nearest node (610608424) to point [55.693760453842565, 12.548166594681598]
2022-11-03 12:20:41,049 INFO osmnx Found nearest node (278528398) to point [55.69149076083171, 12.468280663263844]
2022-11-03 12:20:41,059 INFO osmnx Found nearest node (8977396165) to point [55.66710839094156, 12.569969800636589]
2022-11-03 12:20:41,069 INFO osmnx Found nearest node (25306555) to point [55.67489294070491, 12.586998878059132]
2022-11-03 12:20:41,078 INFO osmnx Found nearest node (8079927) to point [55.67042883796164, 12.578524713360444]
2022-11-03 12:20:41,088 INFO osmnx Found nearest node (3098681267) to point [55.702095673593895, 12.56231015080022]
2022-11-03 12:20:41,098 INFO osmnx Found nearest node (5663604949) to point [55.67272468616919, 12.47622409404524]
2022-11-03 12:20:41,108 INFO osmnx Found nearest node (1302474338) to point [55.64161980604726, 12.55037701730951]
2022-11-03 12:20:41,118 INFO osmnx Found nearest node (278779382) to point [55.69993412700755, 12.46813625451385]
